City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,63.18,92,100,1.99,ZA,1667850113
1,cape town,-33.9258,18.4232,63.91,77,0,4.61,ZA,1667849867
2,ushuaia,-54.8,-68.3,60.46,48,75,14.97,AR,1667849875
3,beloha,-25.1667,45.05,74.12,82,0,4.34,MG,1667850114
4,rikitea,-23.1203,-134.9692,72.77,92,100,24.38,PF,1667850114
5,ambon,-3.6954,128.1814,77.23,15,20,3.44,ID,1667850115
6,saint augustine,29.8947,-81.3145,79.09,92,75,17.27,US,1667849920
7,tasiilaq,65.6145,-37.6368,35.76,90,100,9.86,GL,1667850115
8,mataura,-46.1927,168.8643,52.43,90,100,1.45,NZ,1667850116
9,punta arenas,-53.15,-70.9167,64.51,45,75,18.41,CL,1667849929
10,amapa,1.0,-52.0,74.01,97,100,4.05,BR,1667850116
11,manama,26.2154,50.5832,82.58,65,0,8.05,BH,1667849819
12,castro,-24.7911,-50.0119,65.93,49,18,3.76,BR,1667850116
13,abha,18.2164,42.5053,62.42,94,41,0.0,SA,1667850117
14,dymer,50.7865,30.3026,41.95,65,13,9.93,UA,1667850117
15,atuona,-9.8,-139.0333,76.8,70,73,14.0,PF,1667850117
16,zhangjiakou,40.81,114.8794,34.66,30,0,1.03,CN,1667850118
17,geraldton,-28.7667,114.6,61.21,88,75,6.91,AU,1667850118
18,east london,-33.0153,27.9116,71.69,79,100,6.02,ZA,1667850119
19,khabary,53.6259,79.5345,28.06,89,93,2.86,RU,1667850119
20,barrow,71.2906,-156.7887,26.62,86,100,8.05,US,1667850119
21,abu road,24.4833,72.7833,77.95,35,94,1.63,IN,1667850120
22,namibe,-15.1961,12.1522,69.12,78,5,13.22,AO,1667850120
23,lorengau,-2.0226,147.2712,81.86,76,92,5.91,PG,1667850120
24,prienai,54.6333,23.95,46.67,93,39,9.33,LT,1667850121
25,bluff,-46.6,168.3333,53.6,84,81,6.82,NZ,1667850121
26,buluang,13.3068,123.3425,76.64,93,100,3.33,PH,1667850122
27,avarua,-21.2078,-159.775,77.05,69,40,5.75,CK,1667850122
28,tuatapere,-46.1333,167.6833,55.74,71,100,3.56,NZ,1667850123
29,mahebourg,-20.4081,57.7,74.25,83,20,8.05,MU,1667850123
30,mar del plata,-38.0023,-57.5575,77.83,77,0,23.02,AR,1667849989
31,aklavik,68.2191,-135.0107,-4.0,84,20,5.75,CA,1667850123
32,kapaa,22.0752,-159.319,81.12,75,40,13.8,US,1667849860
33,jamestown,42.097,-79.2353,55.04,26,0,19.57,US,1667850124
34,urengoy,65.9667,78.3667,22.03,97,100,5.84,RU,1667850124
35,kaitangata,-46.2817,169.8464,55.72,73,74,3.94,NZ,1667850125
36,bima,-8.4667,118.7167,77.07,92,100,2.89,ID,1667850125
37,busselton,-33.65,115.3333,52.95,91,8,9.93,AU,1667850125
38,hobart,-42.8794,147.3294,53.06,93,0,9.22,AU,1667850020
39,ponta do sol,32.6667,-17.1,71.01,90,95,2.89,PT,1667850126
40,wanaka,-44.7,169.15,54.1,75,34,1.99,NZ,1667850126
41,cockburn town,21.4612,-71.1419,78.76,78,75,9.22,TC,1667850126
42,albany,42.6001,-73.9662,67.41,30,0,1.01,US,1667849889
43,kruisfontein,-34.0033,24.7314,60.42,78,100,6.29,ZA,1667850127
44,woodstock,43.1334,-80.7497,51.87,51,0,17.0,CA,1667850127
45,vaini,-21.2,-175.2,77.16,73,20,6.91,TO,1667850128
46,solnechnyy,50.7214,136.6319,25.92,61,100,2.17,RU,1667850128
47,grindavik,63.8424,-22.4338,42.75,81,100,9.22,IS,1667850017
48,turukhansk,65.8167,87.9833,16.93,95,100,11.36,RU,1667850129
49,butaritari,3.0707,172.7902,79.88,76,17,7.18,KI,1667850129
50,hermanus,-34.4187,19.2345,60.8,85,59,11.7,ZA,1667850129
51,pangnirtung,66.1451,-65.7125,14.0,44,20,5.75,CA,1667850130
52,kholmogory,64.2229,41.656,37.96,96,100,8.39,RU,1667850130
53,banga,6.4239,124.7783,73.27,96,75,0.56,PH,1667850130
